Timestamp,Select your initials,Enter journal name,Enter society affiliation (if applicable),Provide perma.cc link(s) to policy information on journal website,Data citation,Data citation justification quote,Data transparency,Data transparency justification quote,Analytical code transparency,Analytical code transparency justification quote,Materials transparency,Materials transparency justification quote,Reporting guidelines,Reporting guidelines justification quote,Study preregistration,Study preregistration justification quote,Analysis pre-registration,Analysis pre-registration justification text,Replication,Replication justification quote,Publication bias,Publication bias justification quote,Open science badges,Open science badges justification quote,If there's anything unusual or important to note about this journal write it here
9/4/2020 12:01:41,TEH,PERSONNEL PSYCHOLOGY,,https://perma.cc/KPL3-PZNY,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.","""Personnel Psychology encourages data sharing wherever possible, unless this is prevented by ethical, privacy, or confidentiality matters. Authors publishing in the journal are therefore encouraged to make their data, scripts, and other artefacts used to generate the analyses presented in the paper available via a publicly available data repository; however, this is not mandatory. If the study includes original data, at least one author must confirm that he or she had full access to all the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis.""","0. Code sharing is encouraged, or not mentioned.","""Personnel Psychology encourages data sharing wherever possible, unless this is prevented by ethical, privacy, or confidentiality matters. Authors publishing in the journal are therefore encouraged to make their data, scripts, and other artefacts used to generate the analyses presented in the paper available via a publicly available data repository; however, this is not mandatory. If the study includes original data, at least one author must confirm that he or she had full access to all the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis.""","0. Materials sharing is encouraged, or not mentioned.","""Personnel Psychology encourages data sharing wherever possible, unless this is prevented by ethical, privacy, or confidentiality matters. Authors publishing in the journal are therefore encouraged to make their data, scripts, and other artefacts used to generate the analyses presented in the paper available via a publicly available data repository; however, this is not mandatory. If the study includes original data, at least one author must confirm that he or she had full access to all the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis.""",1. Journal articulates design transparency standards.,"""Research Reporting Guidelines. Accurate and complete reporting enables readers to fully appraise research, replicate it, and use it. Authors are encouraged to adhere to the following research reporting standards. JARS https://www.apa.org/pubs/authors/jars.pdf""
",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/4/2020 22:09:02,BAN,Journal of Management,Southern Management Association,https://perma.cc/8FQ7-TGGD,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.","""During the review process, including at the Conditional Accept stage, manuscripts may be subject to additional methodological screening that may require the submission of additional information (e.g. analysis code; analysis output; original data).""","0. Code sharing is encouraged, or not mentioned.","""During the review process, including at the Conditional Accept stage, manuscripts may be subject to additional methodological screening that may require the submission of additional information (e.g. analysis code; analysis output; original data).""","0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/4/2020 22:47:08,BAN,Applied Psychological Measurement,,https://perma.cc/4H7B-4WWT,0. No mention of data citation.,"""Authors should also follow data citation principles."" No link or clarity provided for what the principles are to follow.","0. Data sharing is encouraged, or not mentioned.","""Where relevant, Applied Psychological Measurement encourages authors to share their research data in a suitable public repository subject to ethical considerations and where data is included, to add a data accessibility statement in their manuscript file.""","0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.","""Submissions should also include one copy of the executable software, the program source code, software documentation (i.e., a program manual), and sample input and output files."" For review of programs, but does not indicate that the programs must be shared.",0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/4/2020 22:59:07,BAN,Psychological Science in the Public Interest,Association for Psychological Science,https://perma.cc/W98K-CQWR,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,This is a review journal only and solicits contributions.  It should probably not be included in TOP Factor.
9/4/2020 23:08:17,BAN,Psychophysiology,Society for Psychophysiological Research,https://perma.cc/TLC2-VKN6,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.","""Psychophysiology encourages authors to share their data, materials, and research instruments supporting the results in their study by archiving them in an appropriate public repository. ""","0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.","""Psychophysiology encourages authors to share their data, materials, and research instruments supporting the results in their study by archiving them in an appropriate public repository. """,1. Journal articulates design transparency standards.,"""Psychophysiology receives manuscript using a variety of methodologies. For best practices we ask that authors followed the guideline articles published in the journal, which can be found at https://sprweb.org/page/Guidelines_Papers. As an example of what needs to be reported in a result section, please see the published outline created for ERP and EEG articles.""",0. Journal says nothing.,"""The journal also welcomes manuscripts for which authors have registered their research plans. """,0. Journal says nothing.,"""The journal also welcomes manuscripts for which authors have registered their research plans. """,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/4/2020 23:37:18,BAN,Depression and Anxiety,Anxiety and Depression Association of America,https://perma.cc/5HS8-EE4F,0. No mention of data citation.,,1. Articles must state whether or not data are available. Requiring a data availability statement satisfies this level,"""Depression and Anxiety expects but does not require data sharing. All accepted manuscripts are required to publish a data availability statement to confirm the presence or absence of shared data."" Level 1 for all data.","0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,2. Journal requires adherence to design transparency standards for review and publication.,"""Authors are asked to use RRIDs to cite the resources used in their research where applicable in the text, similar to a regular citation or Genbank Accession number. For antibodies, authors should include in the citation the vendor, catalogue number, and RRID both in the text upon first mention in the Methods section. For software tools and databases, please provide the name of the resource followed by the resource website, if available, and the RRID. For model organisms, the RRID alone is sufficient. Additionally, authors must include the RIIDs in the list of keywords associated with the manuscript."" 

""Authors are encouraged to adhere to animal research reporting standards, for example the ARRIVE guidelines for reporting study design and statistical analysis; experimental procedures; experimental animals and housing and husbandry. ""

""Accurate and complete reporting enables readers to fully appraise research, replicate it, and use it. Authors are encouraged to adhere to recognized research reporting standards. ""

1 for reporting standards, 2 for resource identifiers.",0. Journal says nothing.,"""Depression and Anxiety requires that clinical trials are prospectively registered in a publicly accessible database and clinical trial registration numbers should be included in all papers that report their results. "" Applies only to clinical trials.",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/4/2020 23:41:26,BAN,Journal of Educational Measurement,National Council on Measurement in Education,https://perma.cc/88B6-9VKH,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/4/2020 23:43:27,BAN,Political Psychology,International Society for Political Psychology,https://perma.cc/U675-D7L9,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/4/2020 23:52:47,BAN,International Journal of Psychophysiology,International Journal of Psychophysiology,https://perma.cc/H3EE-9CF2,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""","0. Data sharing is encouraged, or not mentioned.","""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission."" Encouraged, but not required.","0. Code sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""","0. Materials sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",1. Journal articulates design transparency standards.,"""The Editorial Board strongly encourages authors to consult and report their use of guidelines appropriate to their psychophysiology research methods. Guidelines papers for the use of heart rate variability (HRV), electrodermal activity, impedance cardiography, , human electromyography (EMG), startle eye-blink electromyography, electroencephalogram (EEG), event-related potentials (ERPs), and magnetoencephalography (MEG) can be found here""",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 0:01:28,BAN,Developmental Cognitive Neuroscience,The Flux Society for Developmental Cognitive Neuroscience,https://perma.cc/7RV9-5HN3,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article."" Encourages, not required.","0. Data sharing is encouraged, or not mentioned.","""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission. ""","0. Code sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""","0. Materials sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",1. Journal articulates design transparency standards.,"""The manuscript should be in line with the Recommendations for the Conduct, Reporting, Editing and Publication of Scholarly Work in Medical Journals and aim for the inclusion of representative human populations (sex, age and ethnicity) as per those recommendations."" ""All animal experiments should comply with the ARRIVE guidelines and should be carried out in accordance with the U.K. Animals (Scientific Procedures) Act, 1986 and associated guidelines, EU Directive 2010/63/EU for animal experiments, or the National Institutes of Health guide for the care and use of Laboratory animals (NIH Publications No. 8023, revised 1978) and the authors should clearly indicate in the manuscript that such guidelines have been followed.""  Should, not must.",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,3. Journal accepts Registered Reports for novel studies as a regular submission option.,"""Registered Reports (RRs), which are designed to minimize publication and research bias in hypothesis-driven research, describe hypotheses, methods, and proposed analyses of a pre-registered report prior to research and/or analyses being conducted. First, the proposal is reviewed and if accepted are provisionally accepted for publication. Three types of RRs will be considered: primary RRs for which data collection has not yet commenced, Secondary RRs which propose to analyze already available data, and registered replication reports (RRRs). RRs of secondary data analysis are expected to be particularly prevalent in DCN given the field's emphasis on large, longitudinal datasets, and are encouraged as a method to increase transparency in research. Exploratory (unregistered) analyses, when identified as such, can be added. A detailed authors guide to Registered Reports is available here.""",0. Journal says nothing.,,
