Rank,Journal,Total Cites,Journal Impact Factor,Eigenfactor Score,field,website,ISSN,eISSN,Publisher name,Languages,Web of Science Categories
3,JOURNAL OF MANAGEMENT,24234,8.88,0.022,applied,https://journals.sagepub.com/home/jom,0149-2063,1557-1211,SAGE PUBLICATIONS INC,English,"Business | Psychology, Applied | Management"
4,JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,4491,7.365,0.00571,applied,https://www.apa.org/pubs/journals/ocp,1076-8998,1939-1307,AMER PSYCHOLOGICAL ASSOC,English,"Psychology, Applied | Public, Environmental & Occupational Health"
6,PERSONNEL PSYCHOLOGY,8568,6.571,0.00603,applied,https://onlinelibrary.wiley.com/journal/17446570,0031-5826,1744-6570,WILEY,English,"Psychology, Applied | Management"
7,JOURNAL OF APPLIED PSYCHOLOGY,41414,5.851,0.02083,applied,https://www.apa.org/pubs/journals/apl,0021-9010,1939-1854,AMER PSYCHOLOGICAL ASSOC,English,"Psychology, Applied | Management"
9,JOURNAL OF ORGANIZATIONAL BEHAVIOR,12953,5.026,0.01079,applied,https://onlinelibrary.wiley.com/journal/10991379,0894-3796,1099-1379,WILEY,English,"Business | Management | Psychology, Applied"
2,PSYCHOPHYSIOLOGY,14586,3.692,0.01267,biological,https://onlinelibrary.wiley.com/journal/14698986,0048-5772,1469-8986,WILEY,English,"Psychology, Biological | Psychology, Experimental"
3,EVOLUTION AND HUMAN BEHAVIOR,4240,3.067,0.00614,biological,https://www.sciencedirect.com/journal/evolution-and-human-behavior,1090-5138,1879-0607,ELSEVIER SCIENCE INC,English,"Psychology, Biological | Social Sciences, Biomedical"
4,PHYSIOLOGY & BEHAVIOR,22074,2.826,0.0203,biological,https://www.journals.elsevier.com/physiology-and-behavior,0031-9384,1873-507X,PERGAMON-ELSEVIER SCIENCE LTD,Multi-Language,"Psychology, Biological"
5,BIOLOGICAL PSYCHOLOGY,10093,2.763,0.01188,biological,https://www.journals.elsevier.com/biological-psychology,0301-0511,1873-6246,ELSEVIER,Dutch,"Psychology, Biological | Psychology, Experimental"
6,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,8822,2.631,0.00944,biological,https://www.journals.elsevier.com/international-journal-of-psychophysiology,0167-8760,1872-7697,ELSEVIER,English,"Psychology, Biological | Psychology, Experimental"
3,JOURNAL OF ABNORMAL PSYCHOLOGY,16003,6.484,0.01417,clinical,https://www.apa.org/pubs/journals/abn,0021-843X,1939-1846,AMER PSYCHOLOGICAL ASSOC,English,"Psychology, Clinical | Psychiatry"
4,PSYCHOLOGICAL MEDICINE,26702,5.813,0.03935,clinical,https://www.cambridge.org/core/journals/psychological-medicine,0033-2917,1469-8978,CAMBRIDGE UNIV PRESS,English,"Psychiatry | Psychology, Clinical"
6,CLINICAL PSYCHOLOGICAL SCIENCE,2599,5.415,0.0111,clinical,https://www.psychologicalscience.org/publications/clinical,2167-7026,2167-7034,SAGE PUBLICATIONS INC,English,NA
8,DEPRESSION AND ANXIETY,9355,4.702,0.01386,clinical,https://onlinelibrary.wiley.com/journal/15206394,1091-4269,1520-6394,WILEY,English,"Psychiatry | Psychology, Clinical"
9,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,23082,4.632,0.01405,clinical,https://www.apa.org/pubs/journals/ccp,0022-006X,1939-2117,AMER PSYCHOLOGICAL ASSOC,English,"Psychology, Clinical"
1,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,19837,7.035,0.02108,developmental,https://acamh.onlinelibrary.wiley.com/journal/14697610,0021-9630,1469-7610,WILEY,English,"Psychiatry | Psychology, Developmental"
2,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,19831,6.936,0.01784,developmental,https://www.jaacap.org/,0890-8567,1527-5418,ELSEVIER SCIENCE INC,English,"Psychiatry | Psychology, Developmental"
3,DEVELOPMENTAL COGNITIVE NEUROSCIENCE,3177,4.966,0.01018,developmental,https://www.journals.elsevier.com/developmental-cognitive-neuroscience,1878-9293,1878-9307,ELSEVIER SCI LTD,English,"Psychology, Developmental"
6,AUTISM,5252,4.609,0.00959,developmental,https://journals.sagepub.com/home/aut,1362-3613,1461-7005,SAGE PUBLICATIONS LTD,English,"Psychology, Developmental"
7,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,5422,3.941,0.00945,developmental,https://www.springer.com/journal/787,1018-8827,1435-165X,SPRINGER,English,"Psychiatry | Psychology, Developmental"
3,CHILD DEVELOPMENT,30882,4.891,0.02231,educational,https://srcd.onlinelibrary.wiley.com/journal/14678624,0009-3920,1467-8624,WILEY,English,"Psychology, Developmental | Psychology, Educational"
5,JOURNAL OF COUNSELING PSYCHOLOGY,8770,3.697,0.00568,educational,https://www.apa.org/pubs/journals/cou,0022-0167,1939-2168,AMER PSYCHOLOGICAL ASSOC,English,"Psychology, Educational | Psychology, Applied"
