Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,field
1,TRENDS IN COGNITIVE SCIENCES,27705,15.218,0.03605,experimental
2,Nature Human Behaviour,2457,12.282,0.01419,experimental
3,Advances in Experimental Social Psychology,5859,6.55,0.00289,experimental
4,COMPUTERS IN HUMAN BEHAVIOR,29852,5.003,0.0473,experimental
5,Behavior Research Methods,18539,4.425,0.01805,experimental
6,CORTEX,10979,4.009,0.02287,experimental
7,Current Opinion in Behavioral Sciences,2507,3.99,0.01258,experimental
8,PSYCHONOMIC BULLETIN & REVIEW,12117,3.91,0.02061,experimental
9,JOURNAL OF MEMORY AND LANGUAGE,9767,3.893,0.00761,experimental
10,DEVELOPMENTAL SCIENCE,7783,3.722,0.01209,experimental
11,PSYCHOPHYSIOLOGY,14586,3.692,0.01267,experimental
12,Social Cognitive and Affective Neuroscience,7347,3.571,0.01957,experimental
13,Journal of Applied Research in Memory and Cognition,986,3.472,0.00345,experimental
14,COGNITION,17312,3.294,0.02244,experimental
15,EMOTION,9541,3.177,0.01098,experimental
16,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,11668,3.169,0.02106,experimental
17,JOURNAL OF COGNITIVE NEUROSCIENCE,16520,3.105,0.01559,experimental
18,COGNITIVE PSYCHOLOGY,7784,3.029,0.00459,experimental
19,Wiley Interdisciplinary Reviews-Cognitive Science,1413,2.88,0.00276,experimental
20,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,12400,2.832,0.0118,experimental
21,BIOLOGICAL PSYCHOLOGY,10093,2.763,0.01188,experimental
22,MULTIVARIATE BEHAVIORAL RESEARCH,7112,2.75,0.00788,experimental
23,NEUROPSYCHOLOGIA,25071,2.652,0.02658,experimental
24,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,8822,2.631,0.00944,experimental
25,COGNITION AND INSTRUCTION,2027,2.516,8.8e-4,experimental
26,Topics in Cognitive Science,1645,2.511,0.00358,experimental
27,BRAIN AND COGNITION,6841,2.508,0.00579,experimental
28,Psychology of Aesthetics Creativity and the Arts,1472,2.482,0.00251,experimental
29,COGNITION & EMOTION,8914,2.473,0.00897,experimental
30,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,10937,2.45,0.01114,experimental
31,PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG,3235,2.419,0.00526,experimental
32,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,1965,2.388,0.00348,experimental
33,BRAIN AND LANGUAGE,6557,2.339,0.00596,experimental
34,Journal of Neuropsychology,653,2.333,0.00128,experimental
35,JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,7422,2.301,0.01154,experimental
36,COGNITIVE SCIENCE,6044,2.214,0.00787,experimental
37,Bilingualism-Language and Cognition,3121,2.21,0.0039,experimental
38,THINKING & REASONING,749,2.125,0.00134,experimental
39,HUMAN MOVEMENT SCIENCE,4934,2.096,0.0064,experimental
40,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,5922,2.077,0.01008,experimental
41,ECOLOGICAL PSYCHOLOGY,971,2.063,7.8e-4,experimental
42,COGNITIVE DEVELOPMENT,2315,2.05,0.00274,experimental
43,CONSCIOUSNESS AND COGNITION,5972,2.044,0.00855,experimental
44,MUSICAE SCIENTIAE,675,1.93,9.6e-4,experimental
45,Language Cognition and Neuroscience,1094,1.925,0.00529,experimental
46,Cognitive Systems Research,1050,1.902,0.00119,experimental
47,MEMORY,3910,1.895,0.00563,experimental
48,Attention Perception & Psychophysics,3985,1.893,0.01039,experimental
49,MOTIVATION AND EMOTION,4148,1.878,0.00421,experimental
50,Journal of Cognition and Development,1282,1.869,0.00248,experimental
51,JOURNAL OF NEUROLINGUISTICS,1218,1.853,0.00142,experimental
52,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,2136,1.778,0.0013,experimental
53,Spatial Cognition and Computation,355,1.767,5.4e-4,experimental
54,AGING NEUROPSYCHOLOGY AND COGNITION,1442,1.75,0.00212,experimental
55,Psychology of Music,1729,1.712,0.00196,experimental
56,MEMORY & COGNITION,8569,1.694,0.00679,experimental
57,Language Learning and Development,548,1.651,0.00115,experimental
58,JOURNAL OF CHILD LANGUAGE,2919,1.62,0.00262,experimental
59,DISCOURSE PROCESSES,1980,1.612,0.00184,experimental
60,APPLIED COGNITIVE PSYCHOLOGY,4490,1.591,0.00383,experimental
61,Multisensory Research,402,1.553,0.00137,experimental
62,NEW IDEAS IN PSYCHOLOGY,718,1.55,9.4e-4,experimental
63,I-Perception,774,1.535,0.00199,experimental
64,Psychology of Learning and Motivation,1940,1.526,0.00124,experimental
65,DEVELOPMENTAL NEUROPSYCHOLOGY,2933,1.477,0.0017,experimental
66,CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE,1030,1.44,0.00105,experimental
67,Evolutionary Psychology,976,1.427,0.00166,experimental
68,APPLIED PSYCHOLINGUISTICS,2575,1.412,0.00252,experimental
69,ACTA PSYCHOLOGICA,6151,1.38,0.00703,experimental
70,LEARNING & BEHAVIOR,893,1.342,0.00111,experimental
71,MUSIC PERCEPTION,1716,1.292,9.4e-4,experimental
72,JOURNAL OF MOTOR BEHAVIOR,2375,1.279,0.00148,experimental
73,MIND & LANGUAGE,1372,1.275,8.7e-4,experimental
74,PERCEPTUAL AND MOTOR SKILLS,6171,1.245,0.00213,experimental
75,PERCEPTION,4965,1.217,0.00279,experimental
76,Advances in Cognitive Psychology,343,1.2,5.5e-4,experimental
77,Language and Cognition,266,1.102,6.9e-4,experimental
77,VISUAL COGNITION,2120,1.102,0.00212,experimental
79,LANGUAGE AND SPEECH,1407,1.098,0.00101,experimental
80,Journal of Cognitive Psychology,1062,0.993,0.00254,experimental
81,Cognitive Processing,1151,0.96,0.00155,experimental
82,LATERALITY,901,0.938,7.8e-4,experimental
83,ADAPTIVE BEHAVIOR,607,0.929,6.1e-4,experimental
84,LEARNING AND MOTIVATION,964,0.894,6.5e-4,experimental
85,EXPERIMENTAL PSYCHOLOGY,1269,0.803,0.0016,experimental
86,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,1388,0.677,0.00109,experimental
87,Psicologica,255,0.633,4.3e-4,experimental
Copyright © 2020 Clarivate Analytics,NA,NA,NA,NA,experimental
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",NA,NA,NA,NA,experimental
1,PSYCHOLOGICAL BULLETIN,52600,20.85,0.02712,multidisciplinary
2,Psychological Science in the Public Interest,1591,18.25,0.00287,multidisciplinary
3,Annual Review of Psychology,21277,18.156,0.0195,multidisciplinary
