"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'PSYCHOLOGY, BIOLOGICAL' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,BEHAVIORAL AND BRAIN SCIENCES,"9,395",17.333,0.008170
2,PSYCHOPHYSIOLOGY,"14,586",3.692,0.012670
3,EVOLUTION AND HUMAN BEHAVIOR,"4,240",3.067,0.006140
4,PHYSIOLOGY & BEHAVIOR,"22,074",2.826,0.020300
5,BIOLOGICAL PSYCHOLOGY,"10,093",2.763,0.011880
6,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,"8,822",2.631,0.009440
7,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,"2,673",2.217,0.003000
8,BEHAVIOURAL PROCESSES,"4,689",1.846,0.006950
9,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,"2,136",1.778,0.001300
10,JOURNAL OF PSYCHOPHYSIOLOGY,800,1.406,0.000490
11,LEARNING & BEHAVIOR,893,1.342,0.001110
12,LEARNING AND MOTIVATION,964,0.894,0.000650
13,Integrative Psychological and Behavioral Science,553,0.631,0.000480
Copyright © 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
