"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'PSYCHOLOGY, CLINICAL' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,Annual Review of Clinical Psychology,"6,126",13.692,0.009570
2,CLINICAL PSYCHOLOGY REVIEW,"17,220",10.255,0.020720
3,JOURNAL OF ABNORMAL PSYCHOLOGY,"16,003",6.484,0.014170
4,PSYCHOLOGICAL MEDICINE,"26,702",5.813,0.039350
5,CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,"3,680",5.541,0.002760
6,Clinical Psychological Science,"2,599",5.415,0.011100
7,NEUROPSYCHOLOGY REVIEW,"3,114",4.840,0.004050
8,DEPRESSION AND ANXIETY,"9,355",4.702,0.013860
9,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,"23,082",4.632,0.014050
10,BEHAVIOUR RESEARCH AND THERAPY,"18,086",4.500,0.014680
11,COGNITIVE BEHAVIOUR THERAPY,"1,686",4.413,0.003130
12,International Journal of Clinical and Health Psychology,"1,247",4.250,0.001830
13,JOURNAL OF CLINICAL PSYCHIATRY,"18,652",4.204,0.018530
14,ASSESSMENT,"5,131",3.706,0.007560
15,Health Psychology Review,"2,008",3.705,0.005360
16,JOURNAL OF SEX RESEARCH,"5,076",3.683,0.008170
17,INTERNATIONAL JOURNAL OF EATING DISORDERS,"9,613",3.668,0.010750
18,JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,"5,724",3.656,0.008930
19,ADDICTIVE BEHAVIORS,"13,899",3.645,0.022950
20,Mindfulness,"4,006",3.581,0.008500
21,EUROPEAN EATING DISORDERS REVIEW,"2,622",3.560,0.004600
22,Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,996,3.513,0.002720
23,European Journal of Psychotraumatology,"1,987",3.478,0.004940
24,CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,"2,850",3.468,0.002800
25,Personality Disorders-Theory Research and Treatment,"1,635",3.421,0.004520
26,International Journal of Transgenderism,957,3.369,0.001190
27,BEHAVIOR ANALYST,686,3.250,0.000390
28,BEHAVIOR THERAPY,"5,758",3.243,0.006320
29,PSYCHOTHERAPY,"3,204",3.191,0.003190
30,ARCHIVES OF SEXUAL BEHAVIOR,"7,470",3.131,0.012180
31,JOURNAL OF SUBSTANCE ABUSE TREATMENT,"5,696",3.083,0.010000
32,JOURNAL OF ANXIETY DISORDERS,"7,130",3.079,0.009390
33,HEALTH PSYCHOLOGY,"11,888",3.056,0.015480
34,JOURNAL OF BEHAVIORAL MEDICINE,"5,255",2.988,0.007140
35,PSYCHOTHERAPY RESEARCH,"2,958",2.984,0.003610
36,INTERNATIONAL PSYCHOGERIATRICS,"7,341",2.940,0.009920
37,AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,"2,780",2.925,0.004250
38,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,"2,980",2.917,0.003690
39,JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,"9,261",2.864,0.010750
40,Journal of Eating Disorders,795,2.828,0.002190
41,PSYCHOLOGICAL ASSESSMENT,"12,296",2.825,0.014380
42,Journal of Mental Health,"2,482",2.703,0.002930
43,JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,"1,258",2.683,0.001350
44,PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE,"1,290",2.645,0.001660
45,COGNITIVE THERAPY AND RESEARCH,"5,069",2.603,0.004680
46,Psychological Trauma-Theory Research Practice and Policy,"2,371",2.595,0.005650
47,BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,"3,738",2.541,0.002020
48,NEUROPSYCHOLOGY,"5,844",2.506,0.006230
49,JOURNAL OF HEALTH PSYCHOLOGY,"5,488",2.503,0.007730
50,CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,"3,087",2.477,0.003900
51,Psychology of Violence,"1,237",2.381,0.003510
52,CLINICAL NEUROPSYCHOLOGIST,"3,567",2.232,0.003440
