"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'PSYCHOLOGY, EXPERIMENTAL' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,TRENDS IN COGNITIVE SCIENCES,"27,705",15.218,0.036050
2,Nature Human Behaviour,"2,457",12.282,0.014190
3,Advances in Experimental Social Psychology,"5,859",6.550,0.002890
4,COMPUTERS IN HUMAN BEHAVIOR,"29,852",5.003,0.047300
5,Behavior Research Methods,"18,539",4.425,0.018050
6,CORTEX,"10,979",4.009,0.022870
7,Current Opinion in Behavioral Sciences,"2,507",3.990,0.012580
8,PSYCHONOMIC BULLETIN & REVIEW,"12,117",3.910,0.020610
9,JOURNAL OF MEMORY AND LANGUAGE,"9,767",3.893,0.007610
10,DEVELOPMENTAL SCIENCE,"7,783",3.722,0.012090
11,PSYCHOPHYSIOLOGY,"14,586",3.692,0.012670
12,Social Cognitive and Affective Neuroscience,"7,347",3.571,0.019570
13,Journal of Applied Research in Memory and Cognition,986,3.472,0.003450
14,COGNITION,"17,312",3.294,0.022440
15,EMOTION,"9,541",3.177,0.010980
16,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,"11,668",3.169,0.021060
17,JOURNAL OF COGNITIVE NEUROSCIENCE,"16,520",3.105,0.015590
18,COGNITIVE PSYCHOLOGY,"7,784",3.029,0.004590
19,Wiley Interdisciplinary Reviews-Cognitive Science,"1,413",2.880,0.002760
20,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,"12,400",2.832,0.011800
21,BIOLOGICAL PSYCHOLOGY,"10,093",2.763,0.011880
22,MULTIVARIATE BEHAVIORAL RESEARCH,"7,112",2.750,0.007880
23,NEUROPSYCHOLOGIA,"25,071",2.652,0.026580
24,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,"8,822",2.631,0.009440
25,COGNITION AND INSTRUCTION,"2,027",2.516,0.000880
26,Topics in Cognitive Science,"1,645",2.511,0.003580
27,BRAIN AND COGNITION,"6,841",2.508,0.005790
28,Psychology of Aesthetics Creativity and the Arts,"1,472",2.482,0.002510
29,COGNITION & EMOTION,"8,914",2.473,0.008970
