"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'PSYCHOLOGY, MULTIDISCIPLINARY' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,PSYCHOLOGICAL BULLETIN,"52,600",20.850,0.027120
2,Psychological Science in the Public Interest,"1,591",18.250,0.002870
3,Annual Review of Psychology,"21,277",18.156,0.019500
4,PSYCHOLOGICAL INQUIRY,"4,943",9.917,0.003850
5,PSYCHOLOGICAL METHODS,"13,193",8.430,0.012300
6,Perspectives on Psychological Science,"10,484",8.275,0.022370
7,PSYCHOLOGICAL REVIEW,"29,567",6.857,0.009080
8,AMERICAN PSYCHOLOGIST,"27,040",6.536,0.012770
9,PSYCHOLOGICAL SCIENCE,"32,050",5.389,0.040360
10,ENVIRONMENT AND BEHAVIOR,"6,805",5.141,0.003930
11,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,"12,101",5.117,0.016500
12,COMPUTERS IN HUMAN BEHAVIOR,"29,852",5.003,0.047300
13,European Journal of Psychology Applied to Legal Context,267,4.905,0.000420
14,ANNALS OF BEHAVIORAL MEDICINE,"7,126",4.480,0.008400
15,Emotion Review,"2,463",4.258,0.004680
16,Current Opinion in Psychology,"3,084",4.162,0.013480
17,Psychosocial Intervention,714,4.026,0.000860
18,SUICIDE AND LIFE-THREATENING BEHAVIOR,"4,512",3.867,0.005980
19,Journal of Positive Psychology,"3,094",3.828,0.004760
20,PSYCHOSOMATIC MEDICINE,"12,560",3.702,0.009890
21,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,"9,435",3.502,0.009930
22,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,"10,491",3.301,0.008400
23,BRITISH JOURNAL OF PSYCHOLOGY,"4,626",3.239,0.004060
24,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,"4,946",3.163,0.003230
25,PSYCHO-ONCOLOGY,"11,286",3.006,0.016340
26,EUROPEAN PSYCHOLOGIST,"1,618",2.907,0.001880
27,AGGRESSION AND VIOLENT BEHAVIOR,"4,623",2.893,0.005660
