Journal,ISSN,eISSN,Publisher name,Languages,Web of Science Categories,websites,inTOP,coder
JOURNAL OF LITERACY RESEARCH,1086-296X,1554-8430,SAGE PUBLICATIONS INC,English,"Psychology, Educational | Education & Educational Research",https://journals.sagepub.com/home/jlr,FALSE,BAN
ETHOS,0091-2131,1548-1352,WILEY,English,"Psychology, Multidisciplinary | Anthropology",https://anthrosource.onlinelibrary.wiley.com/journal/15481352,FALSE,TEH
CAREER DEVELOPMENT INTERNATIONAL,1362-0436,1758-6003,EMERALD GROUP PUBLISHING LTD,English,"Management | Psychology, Applied",https://emeraldgrouppublishing.com/journal/cdi,FALSE,TEH
I-PERCEPTION,2041-6695,2041-6695,SAGE PUBLICATIONS LTD,English,"Psychology, Experimental",https://journals.sagepub.com/home/ipe,FALSE,BAN
BEHAVIORAL INTERVENTIONS,1072-0847,1099-078X,WILEY,English,"Psychology, Clinical",https://onlinelibrary.wiley.com/journal/1099078x,FALSE,TEH
DEVELOPMENTAL SCIENCE,1363-755X,1467-7687,WILEY,English,"Psychology, Developmental | Psychology, Experimental",https://onlinelibrary.wiley.com/journal/14677687,FALSE,TEH
ANXIETY STRESS AND COPING,1061-5806,1477-2205,TAYLOR & FRANCIS LTD,English,"Psychology, Multidisciplinary | Psychiatry",https://www.tandfonline.com/loi/gasc20,FALSE,BAN
JOURNAL OF PSYCHOSOCIAL ONCOLOGY,0734-7332,1540-7586,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",English,"Psychology, Social",https://www.tandfonline.com/toc/wjpo20/current,FALSE,BAN
SPATIAL COGNITION AND COMPUTATION,1387-5868,1542-7633,TAYLOR & FRANCIS INC,English,"Psychology, Experimental",https://www.tandfonline.com/loi/hscc20,FALSE,TEH
MULTISENSORY RESEARCH,2213-4794,2213-4808,BRILL,English,"Psychology, Experimental",https://brill.com/view/journals/msr/msr-overview.xml,FALSE,TEH
