Journal title,Journal website,empirical
JOURNAL OF LITERACY RESEARCH,https://journals.sagepub.com/home/jlr,TRUE
ETHOS,https://anthrosource.onlinelibrary.wiley.com/journal/15481352,TRUE
CAREER DEVELOPMENT INTERNATIONAL,https://emeraldgrouppublishing.com/journal/cdi,TRUE
I-PERCEPTION,https://journals.sagepub.com/home/ipe,TRUE
EMERGING ADULTHOOD,https://journals.sagepub.com/home/eax,TRUE
BEHAVIORAL INTERVENTIONS,https://onlinelibrary.wiley.com/journal/1099078x,TRUE
DEVELOPMENTAL SCIENCE,https://onlinelibrary.wiley.com/journal/14677687,TRUE
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,https://www.apa.org/pubs/journals/xlm,TRUE
ANXIETY STRESS AND COPING,https://www.tandfonline.com/loi/gasc20,TRUE
JOURNAL OF PSYCHOSOCIAL ONCOLOGY,https://www.tandfonline.com/toc/wjpo20/current,TRUE
EUROPEAN PSYCHOLOGIST,http://www.europeanpsychologist.eu/,FALSE
SPATIAL COGNITION AND COMPUTATION,https://www.tandfonline.com/loi/hscc20,TRUE
MULTISENSORY RESEARCH,https://brill.com/view/journals/msr/msr-overview.xml,TRUE
JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,https://www.journals.elsevier.com/journal-of-experimental-child-psychology,TRUE
JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES,https://www.springer.com/journal/10882,TRUE
SEXUAL AND RELATIONSHIP THERAPY,https://www.tandfonline.com/loi/csmt20,TRUE
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,https://www.journals.elsevier.com/international-journal-of-human-computer-studies,TRUE
JOURNAL OF CLASSIFICATION,https://www.springer.com/journal/357,FALSE
JOURNAL OF HEALTH PSYCHOLOGY,https://journals.sagepub.com/home/hpq,TRUE
PSYCHOLOGY OF RELIGION AND SPIRITUALITY,https://www.apa.org/pubs/journals/rel,TRUE
JOURNAL OF EXPERIMENTAL EDUCATION,https://www.tandfonline.com/toc/vjxe20/current,TRUE
TOPICS IN COGNITIVE SCIENCE,https://onlinelibrary.wiley.com/journal/17568765,TRUE
EUROPEAN JOURNAL OF PERSONALITY,https://onlinelibrary.wiley.com/journal/10990984,TRUE
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,https://www.apa.org/pubs/journals/xan,TRUE
MIND & LANGUAGE,https://onlinelibrary.wiley.com/journal/14680017,TRUE
SPORT EXERCISE AND PERFORMANCE PSYCHOLOGY,https://www.apa.org/pubs/journals/spy,TRUE
JOURNAL OF EDUCATIONAL PSYCHOLOGY,https://www.apa.org/pubs/journals/edu,TRUE
VISUAL COGNITION,https://www.tandfonline.com/toc/pvis20/current,TRUE
JOURNAL OF PSYCHOACTIVE DRUGS,https://www.tandfonline.com/toc/ujpd20/current,TRUE
INFANTS & YOUNG CHILDREN,https://journals.lww.com/iycjournal/pages/default.aspx,TRUE
SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,https://journals.sagepub.com/description/SAX,TRUE
INTERNATIONAL REVIEW OF SPORT AND EXERCISE PSYCHOLOGY,https://www.tandfonline.com/toc/rirs20/current,FALSE
RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,https://www.tandfonline.com/loi/hrls20,TRUE
JOURNAL OF PSYCHOPHYSIOLOGY,https://us.hogrefe.com/products/journals/journal-of-psychophysiology,TRUE
JOURNAL OF APPLIED SPORT PSYCHOLOGY,https://www.tandfonline.com/loi/uasp20,TRUE
JOURNAL OF CLINICAL PSYCHIATRY,https://ascpp.org/resources/psychiatry-resource/journal-of-clinical-psychiatry/,TRUE
LEADERSHIP QUARTERLY,https://www.journals.elsevier.com/the-leadership-quarterly,TRUE
DEVIANT BEHAVIOR,https://www.tandfonline.com/loi/udbh20,TRUE
JOURNAL OF SUBSTANCE ABUSE TREATMENT,https://www.journals.elsevier.com/journal-of-substance-abuse-treatment,TRUE
ADDICTIVE BEHAVIORS,https://www.journals.elsevier.com/addictive-behaviors,TRUE
BEHAVIOR MODIFICATION,https://journals.sagepub.com/home/bmo,TRUE
SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE,https://academic.oup.com/scan,TRUE
JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,https://journals.sagepub.com/home/pbi,TRUE
