Journal,Issn,Publisher,Society,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
Journal of Criminal Justice,0047-2352,Elsevier,,https://www.elsevier.com/journals/journal-of-criminal-justice/0047-2352/guide-for-authors,1,,0,Encourages but does not require a data statement,0,,0,,0,,0,,0,,0,,,,0,,1
American Journal of Criminal Justice,1936-1351,Springer Nature,,https://www.springer.com/journal/12103/submission-guidelines,1,,1,Required under Declarations,1,Required under Declarations,1,Required under Declarations,1,,0,,0,,0,,0,,0,,5
Justice Quarterly,1745-9109,Taylor and Francis,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rjqy20,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Journal of Crime and Justice,2158-9119,Taylor and Francis,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rjcj20,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Justice Evaluation Journal,2475-1987,Taylor and Francis,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rjej20,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Journal of Quantitative Criminology,1573-7799,Springer Nature,,https://www.springer.com/journal/10940/submission-guidelines,1,,0,"Data availability statement is encouraged, but not required",0,,0,,1,,0,,0,,0,,0,,0,,2
Criminology and Public Policy,1745-9133,Wiley,,https://onlinelibrary.wiley.com/page/journal/17459133/homepage/forauthors.html,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Law Probability and Risk,1470-840X,Oxford University Press,,https://academic.oup.com/lpr/pages/General_Instructions,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Journal of Legal Analysis,1946-5319,Oxford University Press,,https://academic.oup.com/jla/pages/General_Instructions,2,,0,Encourages but does not require data sharing,0,,0,,0,,0,,0,,0,,0,,0,,2
American Law and Economics Review,1465-7260,Oxford University Press,,https://academic.oup.com/aler/pages/Manuscript_Preparation,0,,2,,2,,0,,0,,0,,0,,0,,0,,0,,4
Journal of Law and Economics,0022-2186,University of Chicago Press,,https://www.journals.uchicago.edu/journals/jle/instruct,1,,3,,3,,3,,0,,0,,0,,0,,0,,0,,10
Journal of Legal Studies,0047-2530,University of Chicago Press,,https://www.journals.uchicago.edu/journals/jls/data-policy,1,,3,,3,,3,,0,,0,,0,,0,,0,,0,,10
Journal of Empirical Legal Studies,1740-1453,Wiley,,https://onlinelibrary.wiley.com/page/journal/17401461/homepage/forauthors.html,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
William and Mary Law Review,0043-5589,,,https://wmlawreview.org/submissions,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Southern California Law Review,0038-3910,,,https://southerncalifornialawreview.com/submissions/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Duke Law Journal,0012-7086,,,https://dlj.law.duke.edu/about/submissions/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Notre Dame Law Review,0745-3515,,,http://ndlawreview.org/submissions/overview/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Michigan Law Review,0026-2234,,,https://michiganlawreview.org/articles-essays/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Boston College Law Review,0161-6587,,,https://www.bc.edu/content/bc-web/schools/law/academics-faculty/law-reviews/bclr/submissions.html,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Boston University Law Review,0006-8047,,,https://www.bu.edu/bulawreview/submissions/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
 University of Chicago Law Review,0041-9494,,,https://lawreview.uchicago.edu/submissions,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
UCLA Law Review,0041-5650,,,https://www.uclalawreview.org/submissions/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Virginia Law Review,0042-6601,,,https://www.virginialawreview.org/submissions/online,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Minnesota Law Review,0026-5535,,,https://minnesotalawreview.org/submissions/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
New York University Law Review,0028-7881,,,https://www.nyulawreview.org/submissions/,0,,2,,0,,0,"""Experimental procedures"" are required",0,,0,,0,,0,,0,,0,,2
Vanderbilt Law Review,0042-2533,,,https://vanderbiltlawreview.org/lawreview/about/submissions/,0,,0,Dataset must be sent upon request,0,,0,,0,,0,,0,,0,,0,,0,,0
Cornell Law Review,0010-8847,,,https://www.lawschool.cornell.edu/research/cornell-law-review/submissions.cfm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Iowa Law Review,0021-0552,,,https://ilr.law.uiowa.edu/about/submissions/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Supreme Court Review,0081-9557,,,https://www.journals.uchicago.edu/journals/scr/instruct,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
California Law Review,0008-1221,,,http://www.californialawreview.org/submit/,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Fordham Law Review,0015-704X,,,http://fordhamlawreview.org/submissions/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Georgetown Law Journal,168092,,,https://www.law.georgetown.edu/georgetown-law-journal/submit/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Texas Law Review,0040-4411,,,https://texaslawreview.org/submissions/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
University of Pennsylvania Law Review,0041-9907,,,https://www.pennlawreview.com/submissions/,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
 Columbia Law Review,0010-1958,,,https://columbialawreview.org/submissions-instructions/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Stanford Law Review,0038-9765,,,https://www.stanfordlawreview.org/submissions/,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,2
