Journal,Issn,Publisher,Society,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,1071-5819,Elsevier,NA,https://www.elsevier.com/journals/international-journal-of-human-computer-studies/1071-5819/guide-for-authors,1,NA,0,Encourages but does not require a data statement,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
"SPORT, EXERCISE, AND PERFORMANCE PSYCHOLOGY",2157-3913,American Psychological Association,NA,https://www.apa.org/pubs/journals/spy/index?tab=4,1,NA,1,NA,1,NA,1,NA,1,Encourages use of the Journal Article Reporting Standards.,0,NA,0,NA,1,NA,0,NA,2,NA,8
PSYCHOLOGY OF RELIGION AND SPIRITUALITY,1943-1562,American Psychological Association,NA,https://www.apa.org/pubs/journals/rel/index?tab=4,0,NA,0,NA,0,NA,0,NA,0,Encourages use of the Journal Article Reporting Standards for qualitative work only.,0,NA,0,NA,0,NA,0,NA,0,NA,0
PSYCHOANALYTIC PSYCHOLOGY,1939-1331,American Psychological Association,NA,https://www.apa.org/pubs/journals/pap/index?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Encourages replication studies.,0,NA,0,NA,1
JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,1939-1307,American Psychological Association,NA,https://www.apa.org/pubs/journals/ocp/index?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
"JOURNAL OF EXPERIMENTAL PSYCHOLOGY: LEARNING, MEMORY, AND COGNITION",1939-1285,American Psychological Association,NA,https://www.apa.org/pubs/journals/xlm/index?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,2
JOURNAL OF EXPERIMENTAL PSYCHOLOGY: ANIMAL LEARNING AND COGNITION,2329-8464,American Psychological Association,NA,https://www.apa.org/pubs/journals/xan/index?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,1939-2117,American Psychological Association,NA,https://www.apa.org/pubs/journals/ccp/index?tab=4,0,NA,0,"Encourages data and materials sharing with a link, but does not require sharing or an availability statement.",0,NA,0,"Encourages data and materials sharing with a link, but does not require sharing or an availability statement.",2,Requires use of the Journal Article Reporting Standards.,0,NA,0,NA,1,Encourages replication studies.,0,NA,0,NA,3
JOURNAL OF APPLIED PSYCHOLOGY,1939-1854,American Psychological Association,NA,https://www.apa.org/pubs/journals/apl/index?tab=4,1,NA,0,Encourages data sharing.,0,NA,0,Encourages materials sharing.,1,Encourages JARS and journal-created checklist,1,Encourages preregistrations and analysis plans.,1,Encourages preregistrations and analysis plans.,1,Encourages replication studies.,0,NA,0,NA,5
JOURNAL OF ABNORMAL PSYCHOLOGY,1939-1846,American Psychological Association,NA,https://www.apa.org/pubs/journals/abn/index?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
AMERICAN PSYCHOLOGIST,1935-990X,American Psychological Association,NA,https://www.apa.org/pubs/journals/amp/index?tab=4,0,NA,0,NA,0,NA,0,NA,1,Encourages use of the Journal Article Reporting Standards.,0,NA,0,NA,0,NA,0,NA,0,NA,1
PSYCHONOMIC BULLETIN AND REVIEW,1531-5320,Springer Nature,NA,https://www.springer.com/journal/13423/submission-guidelines,2,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,0,NA,0,NA,0,NA,8
THE LEADERSHIP QUARTERLY,1048-9843,Elsevier,NA,https://www.elsevier.com/journals/the-leadership-quarterly/1048-9843/guide-for-authors,1,NA,0,"The journal does instruct data to be be posted in repositories, but it is not clear if that is a requirement. Other statements in instructions indicate that this is encouraged, not required, as is the use of data availability statements.",0,Sharing of analytical code is encouraged.,NA,NA,2,"""Data reporting"" section provides specific guidelines for complete reporting.",0,NA,0,NA,3,NA,3,NA,0,NA,9
PSYCHOLOGICAL METHODS,1939-1463,American Psychological Association,NA,https://www.apa.org/pubs/journals/met/?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,2
JOURNAL OF COUNSELING PSYCHOLOGY,1939-2168,American Psychological Association,NA,https://www.apa.org/pubs/journals/cou/?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1
