Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
ACTA PSYCHOLOGICA,0001-6918,1873-6297,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,"Psychology, Experimental"
ADAPTIVE BEHAVIOR,1059-7123,1741-2633,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Experimental | Social Sciences, Interdisciplinary"
ADDICTIVE BEHAVIORS,0306-4603,1873-6327,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Substance Abuse | Psychology, Clinical"
ADVANCES IN CHILD DEVELOPMENT AND BEHAVIOR,0065-2407,NA,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Developmental"
ADVANCES IN COGNITIVE PSYCHOLOGY,1895-1171,1895-1171,UNIV ECONOMICS & HUMAN SCIENCES WARSAW,"OKOPOWA 59, WARSAW, Poland, 01-043",English,"Psychology, Experimental"
ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY,0065-2601,NA,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Social | Psychology, Experimental"
AGGRESSION AND VIOLENT BEHAVIOR,1359-1789,1873-6335,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Multidisciplinary | Criminology & Penology"
AGGRESSIVE BEHAVIOR,0096-140X,1098-2337,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Multidisciplinary"
AGING NEUROPSYCHOLOGY AND COGNITION,1382-5585,1744-4128,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Developmental | Psychology, Experimental"
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,0954-0121,1360-0451,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary | Health Policy & Services | Public, Environmental & Occupational Health | Social Sciences, Biomedical"
AMERICAN BEHAVIORAL SCIENTIST,0002-7642,1552-3381,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Clinical | Social Sciences, Interdisciplinary"
AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,1533-7731,1533-7731,UNIV PRESS COLORADO,"PO BOX 849, NIWOT, USA, CO, 80544",English,"Psychology, Clinical"
AMERICAN JOURNAL OF CLINICAL HYPNOSIS,0002-9157,2160-0562,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical"
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,0091-0562,1573-2770,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Multidisciplinary | Social Work | Public, Environmental & Occupational Health"
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,0095-2990,1097-9891,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Substance Abuse | Psychology, Clinical"
